part_id,Item,category,stock_qty,warehouse,Lead Time,Price,Stock Status
P-1135,Pipe Seal Model 693,Seals,6,Bangalore,3,4961.6,limited
P-1136,Gate Valve Model 305,Valves,10,Delhi,10,43884.8,limited
P-1137,Check Valve Model 950,Valves,64,Delhi,5,45745.42,available
P-1138,Hydraulic Pump Model 923,Pumps,15,Mumbai,7,48163.22,limited
P-1139,Engine Gasket Model 966,Gaskets,17,Bangalore,1,39638.76,limited
P-1140,Pipe Seal Model 477,Seals,88,Bangalore,10,19360.76,available
P-1141,Ball Valve Model 125,Valves,90,Bangalore,10,11457.68,available
P-1142,Rubber Seal Model 764,Seals,14,Hyderabad,1,7418.96,limited
P-1143,Pipe Seal Model 218,Seals,0,Mumbai,3,44419.34,out_of_stock
P-1144,Pump Gasket Model 860,Gaskets,115,Hyderabad,10,37242.32,available
P-1145,Pump Gasket Model 730,Gaskets,92,Hyderabad,5,2119.46,available
P-1146,Ball Valve Model 975,Valves,60,Bangalore,1,49055.92,available
P-1147,Check Valve Model 760,Valves,0,Bangalore,1,20207.91,out_of_stock
P-1148,Engine Gasket Model 943,Gaskets,0,Hyderabad,1,33307.05,out_of_stock
P-1149,Oil Seal Model 228,Seals,12,Delhi,1,41575.98,limited
P-1150,Engine Gasket Model 436,Gaskets,12,Delhi,10,640.36,limited
P-1151,Engine Gasket Model 212,Gaskets,52,Mumbai,3,1235.59,available
P-1152,Pump Gasket Model 153,Gaskets,63,Delhi,7,26541.23,available
P-1153,Pipe Seal Model 625,Seals,76,Mumbai,7,25440.02,available
P-1154,Rubber Seal Model 408,Seals,21,Hyderabad,1,3510.86,limited
P-1155,Hydraulic Pump Model 602,Pumps,43,Hyderabad,1,45013.7,available
P-1156,Check Valve Model 381,Valves,46,Bangalore,7,49734.07,available
P-1157,Gate Valve Model 201,Valves,85,Mumbai,10,36181.58,available
P-1158,Pump Gasket Model 523,Gaskets,59,Bangalore,7,20237.14,available
P-1159,Pipe Seal Model 361,Seals,115,Bangalore,3,34497.64,available
P-1160,Water Pump Model 195,Pumps,40,Hyderabad,1,37357.15,available
P-1161,Ball Valve Model 675,Valves,105,Bangalore,1,20835.03,available
P-1162,Water Pump Model 714,Pumps,0,Bangalore,5,5628.23,out_of_stock
P-1163,Engine Gasket Model 967,Gaskets,58,Mumbai,5,42345.98,available
P-1164,Ball Valve Model 331,Valves,23,Hyderabad,10,48740.06,limited
P-1165,Rubber Seal Model 949,Seals,0,Bangalore,1,9430.6,out_of_stock
P-1166,Gate Valve Model 990,Valves,53,Delhi,10,33038.56,available
P-1167,Oil Seal Model 193,Seals,5,Delhi,7,21281.71,limited
P-1168,Ball Valve Model 895,Valves,71,Mumbai,1,8201.21,available
P-1169,Rubber Seal Model 777,Seals,86,Hyderabad,7,30550.26,available
P-1170,Hydraulic Pump Model 216,Pumps,95,Bangalore,7,5989.04,available
P-1171,Hydraulic Pump Model 713,Pumps,80,Mumbai,1,10618.94,available
P-1172,Engine Gasket Model 435,Gaskets,14,Mumbai,1,25120.57,limited
P-1173,Water Pump Model 820,Pumps,98,Delhi,10,28156.82,available
P-1174,Ball Valve Model 546,Valves,35,Mumbai,7,46097.54,available
P-1175,Check Valve Model 826,Valves,81,Hyderabad,5,6201.08,available
P-1176,Pipe Seal Model 571,Seals,109,Bangalore,1,22117.23,available
P-1177,Oil Seal Model 636,Seals,81,Mumbai,7,43590.96,available
P-1178,Ball Valve Model 178,Valves,51,Mumbai,10,25742.63,available
P-1179,Gate Valve Model 934,Valves,25,Delhi,3,5588.82,limited
P-1180,Ball Valve Model 878,Valves,49,Mumbai,3,47588.96,available
P-1181,Hydraulic Pump Model 559,Pumps,23,Bangalore,5,7972.39,limited
P-1182,Pipe Seal Model 915,Seals,68,Bangalore,10,3280.52,available
P-1183,Pipe Seal Model 158,Seals,34,Bangalore,5,4298.18,available
P-1184,Rubber Seal Model 573,Seals,79,Mumbai,7,45497.97,available
P-1185,Pump Gasket Model 254,Gaskets,94,Mumbai,7,5623.34,available
P-1186,Check Valve Model 276,Valves,112,Mumbai,3,35527.27,available
P-1187,Water Pump Model 496,Pumps,66,Hyderabad,5,34105.44,available
P-1188,Rubber Seal Model 437,Seals,38,Mumbai,10,34079.78,available
P-1189,Gate Valve Model 994,Valves,24,Delhi,5,4534.35,limited
P-1190,Pump Gasket Model 815,Gaskets,113,Hyderabad,3,29954.54,available
P-1191,Pipe Seal Model 910,Seals,112,Bangalore,3,33670.76,available
P-1192,Rubber Seal Model 470,Seals,95,Mumbai,5,15788.87,available
P-1193,Pump Gasket Model 597,Gaskets,0,Delhi,3,49998.84,out_of_stock
P-1194,Engine Gasket Model 619,Gaskets,42,Mumbai,5,43881.44,available
P-1195,Pump Gasket Model 951,Gaskets,53,Delhi,7,2662.78,available
P-1196,Check Valve Model 725,Valves,19,Bangalore,7,12083.15,limited
P-1197,Pump Gasket Model 903,Gaskets,0,Hyderabad,3,18708.13,out_of_stock
P-1198,Hydraulic Pump Model 614,Pumps,17,Hyderabad,3,40936.12,limited
P-1199,Pump Gasket Model 995,Gaskets,91,Bangalore,10,46747.53,available
